,,bg,bg,bg,no_bg,no_bg,no_bg
,,A1,tau1,tau2,A1,tau1,tau2
1,13,0.4979064805140696,2.332233878386555,3.1823164497501333,0.4985219998250645,2.3555073627963523,3.1453091875553683
1,14,0.45312634823999853,2.745882464156593,2.7449639613134753,0.49884147474864604,2.734021537436297,2.7347448807472765
1,15,0.48807828387110425,2.5673478799022,3.006698386432188,0.4878235826690734,2.6257160541953235,2.9361039368928097
1,16,0.5065638150335632,2.1987673128804937,3.2439807301773667,0.5073026116917302,2.2162937441001933,3.2127113429358998
1,17,0.4856227584412098,2.711888295025223,2.8544252714771763,0.5046918172764372,2.7751292503044156,2.7750178411579287
1,18,0.5000837198804639,2.3471158075875804,3.136617004518148,0.5006723716641146,2.3725126470453417,3.0972591445934348
1,19,0.5199963919002697,2.0016320279955986,3.3270888341476783,0.5208062633869297,2.0143268936596064,3.3010459208231144
1,20,0.49918828222250655,2.3284732109039603,3.1712320029785235,0.49979800605969854,2.3515487840820155,3.1345463896325114
1,21,0.4846577171878295,2.5987674021627503,3.0092615007639516,0.4841516318573537,2.6651007197435796,2.9317100562498077
1,22,0.4898297527542447,2.507305934503372,3.0609162326942774,0.4899991547315458,2.5494401456278206,3.0055917722722727
1,23,0.5119890394157335,2.22785117837558,3.1402132465429333,0.5127213497466028,2.248663665929935,3.104872034711723
1,24,0.5054367173923852,2.201275971866593,3.254735676333243,0.506177981858111,2.218794611548628,3.223442035477263
1,25,0.5079418063155008,2.2638135601208025,3.1447792316074885,0.5086207355017873,2.285124660645044,3.1094679128577236
1,26,0.5046927880740432,2.308157525489739,3.128895084055553,0.5053330749629533,2.3320590541058164,3.090788507571886
1,27,0.48846571738542877,2.741131360900379,2.7823580685066527,0.7770432793679026,2.751520782406938,2.750794330208898
1,28,0.6011990223903189,2.7940968899282903,2.8008337327472295,0.3137706739720028,2.775927981415032,2.790393011681151
1,29,0.49718113084500476,2.2455533335767504,3.300787525177756,0.49788138762118783,2.2631429113760966,3.2699142479860663
1,30,0.4975054001236655,2.3466375445720287,3.1690741128954825,0.4981019082223153,2.3710072907889193,3.1309167547647894
1,31,0.4954547173307046,2.471829405099377,3.0362444116313023,0.4957228887270826,2.5120527265305426,2.9821144150331484
1,32,0.5080331749502341,2.1732649720234916,3.258047429772285,0.5087883246127138,2.1899745817908145,3.227607489900142
1,33,0.4970860372547433,2.427514792343026,3.0720768331198256,0.49750734837889576,2.4610647997430295,3.024485654031333
1,34,0.4942539963668873,2.3851605802081597,3.1605735844605762,0.4947891240045188,2.411557965115386,3.1206124786042952
1,35,0.49852046816641876,2.3170406879788192,3.193926001555747,0.4991536822684369,2.3393121235373364,3.157965894801372
1,36,0.5082641952004927,2.104695559277347,3.3418219375732057,0.5090378074594357,2.118729974987701,3.314533878584481
1,37,0.4949890045951641,2.3948755747391575,3.1392193265707906,0.4955050330581618,2.4228424670126483,3.0975116527430346
1,38,0.5031624984918073,2.1846527762354135,3.3038329452012687,0.5039018490824761,2.200747874404388,3.2743650651673653
1,39,0.5118217186623791,2.1632951863993672,3.2238386019928456,0.5125903377991592,2.1804587031563165,3.1926589445157987
1,40,0.5010704364157897,2.2447608606669363,3.2537398551048673,0.5017754720952504,2.2633109887696774,3.221593852379053
1,41,0.4959506389876545,2.3854025789157967,3.139307401171837,0.4964780713900058,2.412544450331317,3.098500957199224
1,42,0.48671789574835267,2.5799762621991937,3.0075502455915393,0.48637166585571284,2.6411325008896758,2.9345643607198664
1,43,0.4952960583055243,2.4560814603828773,3.0580999839810565,0.4956332774676876,2.4930724315366715,3.0072006489522964
1,44,0.4961926863986603,2.355615406602535,3.173949275625569,0.49677338311764097,2.3800375258261273,3.1359211366882604
1,45,0.4879277902610635,2.6480486023545198,2.906602190516331,0.4389786882002762,2.7719637331125884,2.7717535291820776
1,46,0.5014159089591845,2.3175825629229414,3.157470809391009,0.5020601017308324,2.341521126284361,3.119268761333734
1,47,0.4816770960963839,2.808112210720675,2.8079800948520726,0.7184013003274965,2.7971905285818437,2.7970466788373995
1,48,0.5003867232170839,2.2552169060758835,3.24897654577517,0.5010830757237499,2.2741498083553187,3.2164543412068265
1,49,0.5063024474433345,2.114041273291812,3.354250514482084,0.5070816562104596,2.1282774285396653,3.3266385809160015
1,50,0.5038600809363906,2.322005956290671,3.121686540182284,0.5044815728524688,2.3467438527603703,3.082755450436333
1,51,0.5024549584683645,2.2140024248758263,3.275494443835414,0.5031799781697625,2.231297903229948,3.244686974945382
1,52,0.4887742908760915,2.561070681686959,3.0060299523423035,0.48855959513120806,2.618394173636894,2.936261357942285
1,53,0.503736714996503,2.2002311390380327,3.2770579672379045,0.504474393547271,2.2172573480597446,3.2464340237076827
1,54,0.4925241083863784,2.3410790246999404,3.2376360892072453,0.49313100759138445,2.3629626698011243,3.202491272337746
1,55,0.47970364652209907,2.824001009824776,2.824095702064502,0.6536839790239863,2.813475177190128,2.812456036447595
1,56,0.4290269911575848,2.801828076524596,2.7975105596959313,0.3621396939668298,2.7883931801828554,2.7884592874918117
1,57,0.5047426330199899,2.2646184592215146,3.183285639681529,0.5054301766200948,2.2852928213369172,3.148671961424732
1,58,0.4846445871078095,2.7947936449898383,2.79468265100664,0.4788941072342926,2.7821575794786364,2.785461546335912
