,,chisqr,redchi,_val,init_value,stderr,correl
0,50,89.03807931385701,0.6405617216824245,"['0.137', '0.00799', '2.75']","['0.497', '2.43', '3.07']","['0.0146', '0.0452', '0.0404']","[{'tau1': '0.0182', 'tau2': '0.803'} {'A1': '0.0182', 'tau2': '0.0145'}
 {'A1': '0.803', 'tau1': '0.0145'}]"
0,51,108.54303931631543,0.786543763161706,"['0.662', '2.3', '3.43']","['0.497', '2.43', '3.07']","['1.76', '1.43', '3.27']","[{'tau1': '0.993', 'tau2': '0.994'} {'A1': '0.993', 'tau2': '0.975'}
 {'A1': '0.994', 'tau1': '0.975'}]"
0,52,113.10172587742437,0.8195777237494519,"['0.704', '2.25', '3.65']","['0.497', '2.43', '3.07']","['2.87', '2.38', '8.37']","[{'tau1': '0.998', 'tau2': '0.999'} {'A1': '0.998', 'tau2': '0.995'}
 {'A1': '0.999', 'tau1': '0.995'}]"
0,53,114.84111147271881,0.8382562881220351,"['0.157', '0.0265', '2.81']","['0.497', '2.43', '3.07']","['0.0175', '0.0637', '0.051']","[{'tau1': '0.296', 'tau2': '0.817'} {'A1': '0.296', 'tau2': '0.239'}
 {'A1': '0.817', 'tau1': '0.239'}]"
0,54,136.81476611449415,0.9842788929100298,"['0.177', '0.914', '2.75']","['0.497', '2.43', '3.07']","['0.0994', '0.775', '0.126']","[{'tau1': '0.908', 'tau2': '0.922'} {'A1': '0.908', 'tau2': '0.71'}
 {'A1': '0.922', 'tau1': '0.71'}]"
0,55,124.98372263429545,0.8991634721891759,"['0.799', '2.26', '3.9']","['0.497', '2.43', '3.07']","['1.17', '1.04', '5.81']","[{'tau1': '0.995', 'tau2': '0.996'} {'A1': '0.995', 'tau2': '0.982'}
 {'A1': '0.996', 'tau1': '0.982'}]"
0,56,124.00682837246926,0.905159331185907,"['0.744', '2.22', '3.85']","['0.497', '2.43', '3.07']","['1.91', '1.72', '7.7']","[{'tau1': '0.998', 'tau2': '0.999'} {'A1': '0.998', 'tau2': '0.993'}
 {'A1': '0.999', 'tau1': '0.993'}]"
0,57,120.13286577869499,0.8642652214294604,"['0.862', '2.24', '4.48']","['0.497', '2.43', '3.07']","['0.799', '0.796', '8.98']","[{'tau1': '0.995', 'tau2': '0.997'} {'A1': '0.995', 'tau2': '0.986'}
 {'A1': '0.997', 'tau1': '0.986'}]"
0,58,133.56597527390178,0.9678693860427665,"['0.128', '0.605', '2.69']","['0.497', '2.43', '3.07']","['0.0496', '0.786', '0.0779']","[{'tau1': '0.779', 'tau2': '0.871'} {'A1': '0.779', 'tau2': '0.476'}
 {'A1': '0.871', 'tau1': '0.476'}]"
0,59,142.4859181288254,1.0325066531074305,"['0.704', '1.87', '4']","['0.497', '2.43', '3.07']","['0.209', '0.261', '1.08']","[{'tau1': '0.939', 'tau2': '0.972'} {'A1': '0.939', 'tau2': '0.839'}
 {'A1': '0.972', 'tau1': '0.839'}]"
