,,,A1,tau1,tau2
0,71,_val,0.1606426781180128,0.010797752806794625,2.8370230835196435
0,71,init_value,0.497,2.43,3.07
0,71,stderr,0.014469041183945708,0.05536125882742505,0.04361638203192888
0,71,correl,"{'tau1': '0.0886', 'tau2': '0.803'}","{'A1': '0.0886', 'tau2': '0.0706'}","{'A1': '0.803', 'tau1': '0.0706'}"
0,72,_val,0.7554841295908494,2.316778211217565,3.5433429006741326
0,72,init_value,0.497,2.43,3.07
0,72,stderr,0.9452333508755841,0.7197196460698861,2.6963167417831455
0,72,correl,"{'tau1': '0.983', 'tau2': '0.985'}","{'A1': '0.983', 'tau2': '0.937'}","{'A1': '0.985', 'tau1': '0.937'}"
0,73,_val,1.1340427391658148,2.41299963959385,2.4288417579713633
0,73,init_value,0.497,2.43,3.07
0,73,stderr,15.369263617973415,0.3102014805437676,0.8678665935234915
0,73,correl,"{'tau1': '0.982', 'tau2': '0.877'}","{'A1': '0.982', 'tau2': '0.941'}","{'A1': '0.877', 'tau1': '0.941'}"
0,74,_val,0.17691316066551588,0.8319509924439821,2.7758181197218357
0,74,init_value,0.497,2.43,3.07
0,74,stderr,0.0771164784580152,0.4514335596724276,0.12693238397989576
0,74,correl,"{'tau1': '0.87', 'tau2': '0.95'}","{'A1': '0.87', 'tau2': '0.734'}","{'A1': '0.95', 'tau1': '0.734'}"
0,75,_val,0.8747942209773043,2.2451661116988935,4.590431436688859
0,75,init_value,0.497,2.43,3.07
0,75,stderr,0.7813640630084369,0.8400674935455231,9.858026118627413
0,75,correl,"{'tau1': '0.996', 'tau2': '0.998'}","{'A1': '0.996', 'tau2': '0.988'}","{'A1': '0.998', 'tau1': '0.988'}"
0,76,_val,0.7284234438758186,2.27432131476301,3.605351946179667
0,76,init_value,0.497,2.43,3.07
0,76,stderr,1.7855260602591987,1.5484030417950585,4.839463159542485
0,76,correl,"{'tau1': '0.996', 'tau2': '0.996'}","{'A1': '0.996', 'tau2': '0.984'}","{'A1': '0.996', 'tau1': '0.984'}"
0,77,_val,0.7785237809237016,2.3395378830205855,3.499119971750547
0,77,init_value,0.497,2.43,3.07
0,77,stderr,0.8448166192086455,0.6164464247433328,2.433297370084768
