,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
2,19,0.497,2.43,3.07,False,17,1.010694356613415,2.766903039601697,2.9227068190145657,False,52
2,20,0.8991725495924727,2.589862002290507,3.8672384580648793,True,121,0.923216304682235,2.6024384039228283,4.2334859870083825,False,61
2,21,0.9188231321979792,2.8148236747920152,2.545144019551689,False,57,0.7479416313959084,2.773264707953127,2.8912146812913075,False,50
2,22,0.9886659502913989,2.65268100215667,11.113815714091793,False,209,0.9854922042698545,2.6495965300335604,9.895285157754358,False,241
2,23,0.9498511524485337,2.742871660505326,3.6883372754709542,False,52,2.0261312360201664,2.971448372375321,3.13031852026324,False,79
2,24,0.9637761953374195,2.741648484892883,3.273572009353711,False,44,0.9595511394606671,2.710323915536974,4.098542459599012,False,72
2,25,0.9584010324399368,2.7231886015344884,3.614166712854883,False,47,1.0002098941384054,2.7720604843585863,6.503810822000052,False,74
2,26,0.053754446121470824,0.483354372847737,2.7736784186481094,False,116,0.054144814360652466,0.6828432663722124,2.7937570432681245,False,62
2,27,0.9314881965417636,2.6483995756313132,4.260875247511156,False,116,0.9744042126563831,2.686179316002189,6.052797860964681,False,116
2,28,0.38124880551385704,0.01742718573532326,2.7970584159576495,False,124,0.39422903750908006,0.018738294253242967,2.8109562210995045,False,167
