,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg,cont,cont,cont,cont,cont,dis,dis,dis,dis,dis,deconv,deconv,deconv,deconv,deconv
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
0,42,-0.16912386656567402,2.4179828031320563,2.758315851342359,True,28,-0.02277035549707954,2.4965264670183904,2.815722542742797,True,29,0.48587762595113987,2.4160834778080593,3.0875259827487613,True,45,0.41994760325079,2.8124072644647207,2.8122426153054265,False,82,0.497,2.43,3.07,False,17
0,43,0.5380258992161993,2.4299991108678642,3.0460804205577556,True,24,0.5804847980432698,2.4300000199326335,3.126566560900214,True,11,0.6111660793243918,2.290649985226029,3.246049193822865,True,30,0.5013005896654225,2.4089084129780143,3.0212157007195706,True,41,0.497,2.43,3.07,False,17
0,44,0.6493012563714966,2.4148486233598287,3.3374909357709552,True,26,0.6907163690281396,2.4312915682566483,3.4511645169635052,True,23,0.5446259281552791,2.176186481556658,3.2878236846466273,True,19,0.5193026778852604,2.320954750484624,3.185468711880694,True,10,0.4483236948378936,2.3113202408694726,3.210260258759009,True,20
0,45,-0.5811582427815065,2.193803483063539,2.5932483230044148,True,51,-0.3090637790378526,2.100110807518087,2.6596454000329977,True,50,0.4355169139733779,2.7631151520227624,2.765868432208434,False,63,2.59645347469851,3.1584812684706707,3.3723618658577816,True,79,0.497,2.43,3.07,False,17
0,46,0.4338670306843103,2.429999734091411,2.962348627988978,True,28,0.4926572551705889,2.429999953334852,3.038872717188485,True,12,0.5958700475473904,2.3149046688142296,3.2154013386377946,True,59,0.4905696681549901,2.4613993912978556,2.991371020286446,True,50,0.497,2.43,3.07,False,17
0,47,0.5691779630999927,2.429999968634674,3.096410255679175,True,14,0.6048156074918705,2.430000013371452,3.1757792292996387,True,13,0.5921318664311459,2.266249372514527,3.2416735746274528,True,70,0.504810593478605,2.391756172062731,3.047662493586543,True,30,0.497,2.43,3.07,False,17
0,48,0.7232671685375965,2.3527993076549563,3.629602670599221,True,23,0.7253624992338658,2.3480802993789,3.6805489263617885,True,30,0.5765316768382389,2.0945403879137787,3.3998960949650954,True,49,0.5443709280010192,2.1983870281573314,3.301468648845238,True,18,0.497,2.43,3.07,False,17
0,49,0.7238000831243135,2.3846637387132352,3.6391495089365598,True,38,0.7741440983096564,2.419014863342916,3.8424992106521882,True,32,0.565714464496975,2.112699244745101,3.4004407126259175,True,37,0.5375722752077805,2.2265446488245706,3.3070546880766822,True,26,0.497,2.43,3.07,False,17
0,50,0.5698217647739157,2.430000109730636,3.1453142759074777,True,16,0.5918549888730608,2.4241184730982237,3.2114684886024563,True,21,0.5757113760202827,2.256555925633972,3.263894837154924,True,59,0.5053646310242493,2.3890917373413973,3.0925549471179323,True,41,0.497,2.43,3.07,False,17
0,51,0.6708622392153593,2.3972284267943142,3.4070571878222404,True,30,0.6850058388997443,2.397332980955615,3.4772854845230365,True,25,0.5520887218003898,2.1532820401913955,3.3135998598895156,True,54,0.526201435555384,2.287319390026559,3.215434083068909,True,35,0.497,2.43,3.07,False,17
0,52,0.543501800836858,2.4300002445044093,3.114820156256718,True,15,0.5806292925993632,2.4318059757567876,3.1912997916623507,True,18,0.5710895278545909,2.2642225078939067,3.2544253481132346,True,25,0.5023124491872665,2.4040254436782353,3.083394801181129,True,10,0.497,2.43,3.07,False,17
