,,A1,tau1,tau2
2,17,0.49132793109166756,2.4575642939724562,3.1052493714652107
2,18,0.5025461399920979,2.249512257770077,3.2295058559812304
2,19,0.4777909922888798,2.765246109845007,2.765723570743675
2,20,0.5029061675354344,2.3002471978088215,3.160960834605054
2,21,0.37108748579341966,2.7995671788578083,2.796541075919157
2,22,0.5039631195999107,2.2615114555515485,3.1968409618338045
2,23,0.49563256157392693,2.363513138573465,3.170891160058416
2,24,0.48317472545594914,2.736177621626767,2.737188251013794
2,25,0.4968758230247137,2.439674631847796,3.059311507009204
2,26,0.4949381876659823,2.558438091856386,2.933206535844758
2,27,0.5022330452715,2.3261324924867397,3.1365738225334505
2,28,0.4972578273240147,2.4395064601488707,3.05480459549105
2,29,0.49785983870007466,2.3765685413878566,3.1268811306864133
2,30,0.4974506768604201,2.4484588687139883,3.0411118414977296
2,31,0.339004841562858,2.7623095757352143,2.7657505501384168
2,32,0.49440873022399456,2.552216802528031,2.947607152565781
2,33,0.49361383132957337,2.4490828893963386,3.087724407397992
2,34,0.7015311724654856,2.7908708995838665,2.7923112277445634
2,35,0.47497234131025645,2.7796964144618785,2.779254621493474
2,36,0.5002625408509208,2.372775675706036,3.101989961005903
2,37,0.5026745980713474,2.309177322261521,3.1525396681473596
2,38,0.5039230552276743,2.3374853927721655,3.101352306404662
2,39,0.5005553080474819,2.2909060171448803,3.201804969905756
2,40,0.5015988779831669,2.322193427775869,3.1493850161576384
2,41,0.499936931127258,2.3866841217306227,3.088440959151245
2,42,0.4960715978195532,2.4375228254586063,3.071965450318731
2,43,0.5018419884803543,2.324602318323063,3.1433382393544425
2,44,0.5020996586365504,2.314781216673198,3.1525626492799947
2,45,0.4858643071630451,2.7877844713265327,2.7875627321297314
2,46,0.5002678464037955,2.2902451944253515,3.20619127961117
2,47,0.5015202819347525,2.298964365267705,3.1797029833533474
2,48,0.5005961012406467,2.292864076636769,3.1988273642221636
2,49,0.5001118862711664,2.320157306406902,3.1703278025396275
2,50,0.49753614033971344,2.3902072160607024,3.113647270286991
2,51,0.48396062367792175,2.7851522537754665,2.7851547930291445
2,52,0.4915542044248892,2.58037427137418,2.947299140658552
2,53,0.4871431001219981,2.606874391140928,2.968314800407681
2,54,0.48728156075658685,2.6604500513358653,2.8989180659740272
2,55,0.493308090494075,2.5308131549576003,2.9882452989530077
2,56,0.5020440154162659,2.3397772959148977,3.121670474480978
2,57,0.4933613590093032,2.4121528981232037,3.1374999763117724
2,58,0.5030702298749558,2.2720198195417884,3.194595799849832
2,59,0.5003895105499204,2.392505058393571,3.0754956045510995
2,60,0.4945305366868217,2.603090132016147,2.881830343291255
2,61,0.4862587869510704,2.5444498694709954,3.0581052516268445
2,62,0.49135547141920993,2.5129834324195732,3.0348939307698104
2,63,0.4936578724073749,2.505350637795334,3.016093055589908
2,64,0.4955648409474972,2.535035391220018,2.9550312983783282
2,65,1.8509984021717651,2.919474255147755,3.1227431311709855
2,66,0.49911443393402777,2.395392126090939,3.087600729215993
2,67,0.4970307687254105,2.393732566793715,3.1154392060134963
2,68,0.6127008017916904,2.789131388325705,2.789234581379799
2,69,0.49277775669918034,2.5467897020613175,2.9746131845102997
2,70,0.5957274677673482,2.772069674817854,2.7720975523149365
2,71,0.4925744385789216,2.553821596747032,2.9682409723815293
2,72,0.49535656136414247,2.440658245274497,3.076837936487009
2,73,0.5066128083624294,2.284234725647202,3.1353982465920067
2,74,0.5004656908899495,2.390259198949586,3.077391915288359
2,75,0.5074328471078935,2.266127383907002,3.1481438884754915
2,76,0.4816407616225224,2.78046546138744,2.7809785986981015
2,77,0.5041900933713466,2.1869893946753125,3.288186038532516
2,78,0.4879928198969771,2.6784589092915776,2.867378999720889
2,79,0.4986231266306922,2.338767037665699,3.165209145361012
2,80,0.4959919432489242,2.465011230387778,3.0382214541772607
2,81,0.4968078722781043,2.564696877813607,2.902201005880521
2,82,0.37794785645038503,2.761438144941799,2.7616118884503926
2,83,0.4926904601727184,2.4836906825056495,3.0554090071139375
2,84,0.49555892741133933,2.4557124017578253,3.0553187948832328
2,85,0.4836600894382148,2.7866012930267776,2.786520354367378
2,86,0.5036492480361089,2.2447773291426225,3.221859910911188
2,87,0.5538790635860251,2.7913686302028933,2.7908967521960593
2,88,0.5021095015782439,2.3414056034540165,3.118804458000397
2,89,0.5197790473405155,2.8011135139971945,2.7987501743162766
2,90,0.4969784557696251,2.4809718899342217,3.0058696207133977
2,91,0.4881033643915085,2.7611608354771486,2.7599221772354894
2,92,0.4946066748783627,2.4115055607160683,3.122932750282743
2,93,0.5054204967958434,2.2294224115728345,3.2193768751014686
2,94,0.47920186169277496,2.7416232915959093,2.7414233512959347
2,95,0.4680886776456239,2.799526532512838,2.8003482133410165
2,96,0.49317804944754595,2.7632322754814678,2.763454957010627
2,97,0.5774638802383185,2.816016134958464,2.825981621224256
2,98,0.49120032876192643,2.486929738137735,3.0697261727347422
2,99,0.49823502476602144,2.4561252928696153,3.0217363687716037
3,0,0.4952140154712506,2.499887257894321,3.003770238751802
3,1,0.4949964372341717,2.4361887916255576,3.0869332242985723
3,2,0.4887289909868728,2.6623851405869643,2.878589899158071
3,3,0.49937496685920413,2.3928650660625945,3.087587471246491
3,4,0.494853640959713,2.439084101261881,3.0850392146799437
3,5,0.4921796073328235,2.555751380619996,2.970682201221713
3,6,0.5014216374893067,2.3367147314227505,3.133194059332995
3,7,0.5060799068776449,2.2219046713867163,3.2207235639149605
3,8,0.4969083908829016,2.358530777991626,3.1614244487674137
3,9,0.5077735800433438,2.7758440759063885,2.775850153830761
3,10,0.49685083810384,2.443776612100961,3.054426723520887
3,11,0.49681454047436646,2.401354466338251,3.108454911282217
3,12,0.4931747025895564,2.5321600531417805,2.988191497390902
3,13,0.49203021344128595,2.584907257876356,2.935319273338287
3,14,0.49361951960367295,2.4959737388649557,3.028413141045992
3,15,0.48921743317533106,2.604959589508164,2.9451069852108853
3,16,0.5527279668616096,2.7706444357066937,2.7740067514691273
3,17,0.5020255806570577,2.3388317964430154,3.1230918077072998
3,18,0.49646753040956454,2.4842665418341654,3.008004414899241
3,19,0.4998981693915939,2.3644588585099138,3.1169980836092503
3,20,0.5009173831131374,2.3297596924804744,3.1482450027421485
3,21,0.5014704712303282,2.374847078734009,3.0844493841726406
3,22,0.5006352990899897,2.33201867990864,3.14896755958578
3,23,0.4973397392372193,2.4039946084559873,3.0986601336478756
3,24,0.12515112596560832,2.759253464557842,2.767050394835215
3,25,0.4998310020266712,2.416247044181867,3.052400377645141
3,26,0.49427262290420654,2.48264875311389,3.0371783369422443
3,27,0.49517428201880087,2.496147042739178,3.0089865146788815
3,28,0.49038185938097006,2.635105940011402,2.8926350090542114
3,29,0.49702822611093456,2.400544051757633,3.1068629090663284
3,30,0.49607874584662365,2.3964284625480476,3.123809802523371
3,31,0.4983590644041379,2.3060980755378973,3.209744270911746
3,32,0.4964467102061324,2.478323645020695,3.01578428613545
3,33,0.5712497960899734,2.774061503744506,2.774066341294598
3,34,0.4965619116884429,2.472104130922633,3.02218292403503
3,35,0.4975142818970249,2.3660984852741644,3.1443952543373594
3,36,0.5028707807753853,2.343362620908773,3.1068905712239467
3,37,0.49806830560390364,2.3594585713861362,3.1459220439659026
3,38,0.47759567321659196,2.759951251337918,2.7599732007665536
3,39,0.49568344945022147,2.464647394474373,3.042491824267204
3,40,0.504772609041971,2.251373142029606,3.1996488426725262
3,41,0.4971175130692405,2.480335228988673,3.004984367782296
3,42,0.4961208287148739,2.445968262632773,3.060687403759698
3,43,0.48298896732413865,2.7796708300170083,2.7796881574688426
3,44,0.49959003376807304,2.371091502611227,3.112390557987672
3,45,0.10347252923496847,2.775189030990793,2.775263819376835
3,46,0.49537303233483276,2.4520794599872433,3.0622048079195356
3,47,0.4858608434789203,2.6247749036727566,2.9615405105292103
3,48,0.4958575615295041,2.443097737780395,3.067566201604795
3,49,0.4908049194342448,2.6916465951598965,2.815976758683783
3,50,0.49986944531244115,2.320425716925054,3.1730285069097084
3,51,0.49733751973862517,2.4075334076712425,3.094208644330229
3,52,0.49833223914168423,2.4910208633004394,2.976423751978432
3,53,0.4911525127014639,2.5635745932393856,2.973484601656879
3,54,0.49310877708862805,2.4329169417336955,3.1143855144405515
3,55,0.4968896289550075,2.413262370559286,3.092522344260189
3,56,0.4970367767531985,2.374359505241219,3.1398394738092334
3,57,0.4959146214421467,2.3960645720144766,3.1262818781055026
3,58,0.5000687877142659,2.3227610898598416,3.167570216795381
3,59,0.4961134828124807,2.4440228310020835,3.0632355022283373
3,60,0.48924095756529257,2.67910428565463,2.8511377893424434
3,61,0.5030916636431527,2.279187556607442,3.185268774610351
3,62,0.4966692060984642,2.4436783337598262,3.0568052072390843
3,63,0.4983646290798854,2.400633665719941,3.09016597949015
3,64,0.49954408494315045,2.3455751221532437,3.14505716606872
3,65,0.498758677871871,2.3981188926982377,3.0885350787063546
3,66,0.4999405926817113,2.3148137976073095,3.1791814133739194
3,67,0.49477531998388496,2.4570923365373023,3.0633605435439737
3,68,0.4926805700586412,2.5363815843992663,2.9889621014439545
3,69,0.5021079698512726,2.32225942447879,3.1430115605345645
3,70,0.49639792349994116,2.482511683953197,3.0110960620387823
3,71,0.5077136134045902,2.2230045986355202,3.1991511433335122
3,72,0.4933503009486757,2.522188730437182,2.998625623431394
3,73,0.49766657182613455,2.3934991381953035,3.107882148146834
3,74,0.5001886507799626,2.353722466639301,3.126992825225863
3,75,0.49936775755063956,2.374324355680166,3.1110874457903126
3,76,0.5037906904456367,2.2631357052913073,3.196941796373988
3,77,0.5006696668113804,2.346693436537589,3.1299112701013887
3,78,0.4748786161283403,2.7719814773404576,2.771380491928161
3,79,0.4898158982506347,2.6069032866555157,2.9352277079620532
3,80,0.5024693881051238,2.3336158824099207,3.1241359297669513
3,81,0.4924314992481357,2.486411499391485,3.055170843430793
3,82,0.5026590505547421,2.28089672286201,3.1884598107423074
3,83,0.5001179005762698,2.315056526332627,3.176696591944176
3,84,0.5020040371487885,2.302888431169843,3.168768539812845
